stage,target,model,fold_count,cv_train_mae_mean,cv_train_mae_std,cv_train_rmse_mean,cv_train_rmse_std,cv_train_r2_mean,cv_train_r2_std,cv_train_median_absolute_error_mean,cv_train_median_absolute_error_std,cv_train_normalized_rmse_mean,cv_train_normalized_rmse_std,cv_validation_mae_mean,cv_validation_mae_std,cv_validation_rmse_mean,cv_validation_rmse_std,cv_validation_r2_mean,cv_validation_r2_std,cv_validation_median_absolute_error_mean,cv_validation_median_absolute_error_std,cv_validation_normalized_rmse_mean,cv_validation_normalized_rmse_std,convergence_warnings,convergence_reached,n_iter,dataset_hash,split_hash,model_config_hash,model_registry_version,target_rank
kfold,density,lgbm_regressor,5,0.1509037478753765,0.0009323907058358,0.2051339277794991,0.0014663006287771,0.8968133257713898,0.0009672573503224,0.1139270177704428,0.0007991011892968,0.3212074663144241,0.0015065603596235,0.1941610031767819,0.0027845757855537,0.2683511168399626,0.0061945499828938,0.8233229460786882,0.0040277915737102,0.1447948903026122,0.0037379530161065,0.4202313775843841,0.0112732404576309,,True,250 | 250 | 250 | 250 | 250,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,46929a10c909e5775e3ee3ac6ee4a4e5f9b910aeb26e1bdd31b770f7ed1a9fdf,2026-08-04-poisson-nystroem-v1,1.0
kfold,density,selfies_transformer,5,0.1621650641050038,0.0118277655115624,0.2146590083725815,0.0165196135825613,0.8864709788150315,0.0177363051635231,0.125531293606903,0.0082278957432461,0.3361270278198313,0.0258832870957438,0.2005350083998927,0.0042957029590991,0.2719074353635505,0.0049559793164556,0.8185644437065843,0.0049690817780758,0.1518606341670532,0.0048915660960525,0.4257890660038835,0.0090012039452172,,True,19 | 29 | 15 | 27 | 22,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,2d4cab89ff2e068eb87bfeefa78c5d4860e22551771ffe49315e0d57b31b08ec,2026-08-04-poisson-nystroem-v1,2.0
kfold,density,hist_gradient_boosting,5,0.1709968648118239,0.0007634310020667,0.2307898942627061,0.0014067947090388,0.8693851078166404,0.0014338834216583,0.1308022750210767,0.001386230659247,0.3613838603519342,0.0019849946997798,0.2016099837629752,0.0033705495303844,0.2770167544447997,0.0066900128474679,0.8117350600109043,0.0043217807271141,0.1526831509463847,0.0020652832415483,0.4338037239828312,0.01214476307911,,True,150 | 150 | 150 | 150 | 150,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,8f7253d865bfcdc197513116f97743d778d9acaeec5862614d7595a21ce8c6af,2026-08-04-poisson-nystroem-v1,3.0
kfold,density,extra_trees,5,0.0425686259539608,0.0002607448063709,0.0766159901061802,0.0012202944302953,0.985600045928701,0.0005594144992957,0.0198125799973332,0.0001761896644507,0.1199756854790629,0.0023201919549335,0.1905613062770083,0.005325906629058,0.2784804103599486,0.0089891834688601,0.8096945753230248,0.0085279817520199,0.1281601261299717,0.004343316234478,0.4360991127374649,0.0154984448792758,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,857f3d5d3a5d8b452655ae1db5ce832b073483ad4fb1671790f8010347cf6752,2026-08-04-poisson-nystroem-v1,4.0
kfold,density,xgb_regressor,5,0.163396680819026,0.0010958478117579,0.2143055934062791,0.0012809719299663,0.8873770285702582,0.0012510138685273,0.1277800805803162,0.0013707005082604,0.3355720692933666,0.0018588744949531,0.205618693061046,0.0027663434012811,0.279202962111685,0.0062118060019614,0.8086950033471915,0.0062987377924104,0.1563911625510849,0.0016193569546618,0.4372175268269498,0.0110563933603817,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,72d82ff87f0e09171a8220d06b59062124d9b75d7f10c0034291bbd6a6be4848,2026-08-04-poisson-nystroem-v1,5.0
kfold,lcd,extra_trees,5,0.2128675974448905,0.0024122939119364,0.4541938634809087,0.0267481723025666,0.9879779370074284,0.0013430274396001,0.101722634666664,0.0006026821336055,0.10949583092853,0.0062737996270363,0.9461760198507452,0.0171587186873786,1.5223299478903551,0.0922250159186491,0.864764488336322,0.0151015883938733,0.5794650026071441,0.0082000957405394,0.3670865035438565,0.0233694137718943,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,857f3d5d3a5d8b452655ae1db5ce832b073483ad4fb1671790f8010347cf6752,2026-08-04-poisson-nystroem-v1,1.0
kfold,lcd,random_forest,5,0.4577895532548119,0.0009390430825066,0.7583381593221302,0.0203528878127669,0.9665532254317576,0.0016840534849882,0.2846207595595248,0.0022048231018369,0.1828282588951196,0.0046313209104841,0.9949660576007942,0.0260272591605271,1.5593265779511345,0.1115795226197531,0.8580935164324147,0.0180178340054432,0.6283620877040036,0.0165762896355539,0.3760329914496477,0.0282894272001895,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,389fc0a340c1964993165d042b1749513aa3ef351bbaaf8c8a3dc5dd9dec837b,2026-08-04-poisson-nystroem-v1,2.0
kfold,lcd,xgb_regressor,5,0.8025769959588661,0.0049337308623861,1.0751104607768518,0.0103681844481286,0.9327902041760592,0.001799989475774,0.6244457996139526,0.0024326866875118,0.2592167649293039,0.0034543515530443,1.0566185786776998,0.0259656398919696,1.5619451278004743,0.1034151301455015,0.857811205408942,0.0150822456015853,0.7433064782791137,0.0139690252263353,0.3766835191521647,0.0267760870307407,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,72d82ff87f0e09171a8220d06b59062124d9b75d7f10c0034291bbd6a6be4848,2026-08-04-poisson-nystroem-v1,3.0
kfold,lcd,lgbm_regressor,5,0.7658963052298069,0.0041502032733968,1.0837152423950636,0.0069836235970037,0.9317176000224612,0.0012462294719108,0.5602554176112529,0.0050786366439296,0.2612869311490597,0.0023745010334329,1.0413733163339014,0.0153274954004569,1.5684226005488298,0.0776415330685354,0.8566948866492717,0.0111313978337086,0.7021966682864219,0.0175760177881225,0.3782202592610887,0.0205746688537249,,True,250 | 250 | 250 | 250 | 250,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,46929a10c909e5775e3ee3ac6ee4a4e5f9b910aeb26e1bdd31b770f7ed1a9fdf,2026-08-04-poisson-nystroem-v1,4.0
kfold,lcd,hist_gradient_boosting,5,0.871754442091008,0.0051147924302064,1.2287851398623748,0.0130224195743989,0.9122143843979392,0.0018323770170779,0.6391024950310342,0.0057446133784324,0.2962582959227436,0.0030824205032939,1.0735669899104532,0.0151957101470763,1.6031326698127215,0.0805696314930326,0.8502594156843524,0.0121120140471912,0.7322121661011047,0.0194492649742546,0.3865885724441602,0.0212621572009884,,True,150 | 150 | 150 | 150 | 150,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,8f7253d865bfcdc197513116f97743d778d9acaeec5862614d7595a21ce8c6af,2026-08-04-poisson-nystroem-v1,5.0
