stage,target,model,fold_count,cv_train_mae_mean,cv_train_mae_std,cv_train_rmse_mean,cv_train_rmse_std,cv_train_r2_mean,cv_train_r2_std,cv_train_median_absolute_error_mean,cv_train_median_absolute_error_std,cv_train_normalized_rmse_mean,cv_train_normalized_rmse_std,cv_validation_mae_mean,cv_validation_mae_std,cv_validation_rmse_mean,cv_validation_rmse_std,cv_validation_r2_mean,cv_validation_r2_std,cv_validation_median_absolute_error_mean,cv_validation_median_absolute_error_std,cv_validation_normalized_rmse_mean,cv_validation_normalized_rmse_std,convergence_warnings,convergence_reached,n_iter,dataset_hash,split_hash,model_config_hash,model_registry_version,validation_rmse,validation_r2,train_r2,train_rmse,rank
kfold,pld,extra_trees,5,0.1916481337648508,0.0043307620333895,0.4386407805819289,0.036207757261776,0.9840426217591096,0.002436902568812,0.0853424466666669,0.0006526812217176,0.1259898346517408,0.01014255567371,0.8271651039358641,0.0261208154747643,1.3925203497539678,0.1163259198699238,0.8383748267887883,0.027691390420013,0.4532823919999992,0.0210691404409259,0.4000755613729702,0.0341526861289099,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,857f3d5d3a5d8b452655ae1db5ce832b073483ad4fb1671790f8010347cf6752,2026-08-04-poisson-nystroem-v1,1.41136610044053,0.8453281825422436,0.9848290257356088,0.4287757818355536,1
kfold,pld,random_forest,5,0.4048763882498233,0.0041350332143185,0.701744432350074,0.029437495704648,0.9593071857755124,0.0032303510856757,0.233685725488095,0.003625612888105,0.201582387679886,0.0081521684407559,0.8736408430317919,0.027228773034062,1.4177068536695825,0.1186859607169462,0.8326300992359507,0.0281441158981371,0.5182943480719697,0.0155854727385552,0.4073421428936698,0.0351887848542628,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,389fc0a340c1964993165d042b1749513aa3ef351bbaaf8c8a3dc5dd9dec837b,2026-08-04-poisson-nystroem-v1,1.484936474722227,0.8287827273141484,0.9610739769957656,0.6868209425057361,2
kfold,pld,lgbm_regressor,5,0.6587874623246976,0.0064129631476265,0.9729274761009836,0.0125963192529699,0.921855996879386,0.002320933526113,0.443416842479367,0.0023882245641437,0.2795037218283075,0.0041274184680137,0.9100498930619568,0.0203558167634419,1.429918057144782,0.0960488275327107,0.8302029802238089,0.0218236326042452,0.5628861106905632,0.0154569011583116,0.4108738758870961,0.0293483563896536,,True,250 | 250 | 250 | 250 | 250,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,46929a10c909e5775e3ee3ac6ee4a4e5f9b910aeb26e1bdd31b770f7ed1a9fdf,2026-08-04-poisson-nystroem-v1,1.4696143769677064,0.8322978583797882,0.916510880236836,1.005862118981687,3
kfold,pld,xgb_regressor,5,0.7103354793983022,0.0081373259554041,0.986412279342918,0.0124656671381384,0.9196723504320908,0.0024658888150719,0.5107968315658569,0.0022863423386171,0.2833803216456242,0.0043263654039066,0.9307978215280792,0.0233626230810189,1.4374979041059166,0.1150664753068406,0.8280746673267168,0.0270092462069118,0.6016130638427735,0.0201558247654741,0.4130374260568959,0.0343953021251042,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,72d82ff87f0e09171a8220d06b59062124d9b75d7f10c0034291bbd6a6be4848,2026-08-04-poisson-nystroem-v1,1.46018933147369,0.8344420016657101,0.91407868431595,1.0204082729648354,4
kfold,pld,hist_gradient_boosting,5,0.7509561791397986,0.0056449481813804,1.106530712138018,0.0148270716269635,0.8989230470892633,0.0029441192095431,0.5044073565434806,0.002339672896065,0.3178829196040054,0.0046094304804487,0.9310959898291764,0.02287995372421,1.4498430140589904,0.1032727704059355,0.8255571056991725,0.0222266423130607,0.5837102666248456,0.0108313538426054,0.416629486410596,0.031857472115313,,True,150 | 150 | 150 | 150 | 150,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,8f7253d865bfcdc197513116f97743d778d9acaeec5862614d7595a21ce8c6af,2026-08-04-poisson-nystroem-v1,1.5040129850586437,0.8243553215242931,0.8910847948224772,1.14886174553109,5
kfold,pld,voting_regressor,5,0.7250063231684125,0.0048479422511007,1.070402548355612,0.0124087169895116,0.9054164930724432,0.0025600923833692,0.4850343264638612,0.005118629113554,0.3075061822353643,0.0041410136515311,0.991639727829409,0.033666538181837,1.519868278827854,0.1327927042133649,0.8080173975850803,0.0305505136949294,0.6439152325740902,0.0170381648812669,0.4367654715630927,0.0402592825546217,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,603df8ce012847e429e97e9accc5c97f23e8704c7e120e19e01d4c575dc8cd80,2026-08-04-poisson-nystroem-v1,1.5387923181565624,0.8161380575351525,0.9034656773815296,1.0815942964158256,6
kfold,pld,bagging,5,0.8043738711100563,0.0157869574716667,1.1307289734706114,0.0338299270199531,0.89441974064286,0.0058027763896333,0.5847380768213877,0.0106978626016504,0.3248139989889865,0.0090316790695131,1.0038950991190454,0.0282498357303689,1.5339767064665628,0.1232501831858286,0.8043882818726388,0.0301773595399868,0.6530701658398057,0.0136245885479927,0.4407933258966035,0.0371861396500805,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,3017127aa12ab38be3c104c89fad7bf83ec2c761f10f697f0a450e98821b5477,2026-08-04-poisson-nystroem-v1,1.561008895982671,0.8107906555707393,0.8923284138638768,1.1422839301043908,7
kfold,pld,catboost_regressor,5,0.9760055989358406,0.0142021039823488,1.406246547525497,0.0248340854985105,0.8367461351254658,0.0056397748091134,0.6704904205255945,0.0122648932283442,0.4039777701803558,0.0069839751332721,1.042042983945155,0.0298100194553042,1.5683288921160683,0.1148584742533487,0.7958236427118781,0.0270114319900647,0.687997302225147,0.0123418597972715,0.4506761038148575,0.0352693375333559,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,43e5cb9bd749a21ca08863e3ec840e4155f1977cde25c5d9efff408de952f176,2026-08-04-poisson-nystroem-v1,1.5876474570669723,0.8042778539322697,0.8354341759638185,1.412190664111664,8
kfold,pld,mlp_regressor,5,0.6406826040578963,0.1583668526241793,1.0396122075065422,0.2122114724441887,0.9076888557899704,0.033916632029066,0.3649780759632291,0.1017577423042885,0.2987947841750323,0.061474778374803,1.0601029131964412,0.03634502674138,1.6321244363263214,0.0981348343044486,0.7791996373372265,0.0223913752080469,0.6506027490711779,0.0397162580792182,0.4690130428474505,0.0310902617221916,,True,35 | 17 | 14 | 14 | 15,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,848a8e53918c3d7f3a51170a53aa12552532ee8dec773b27dfaf373a1e666567,2026-08-04-poisson-nystroem-v1,1.606840203749529,0.7995171609894529,0.9598713527450938,0.6973499459899529,9
kfold,pld,gradient_boosting,5,1.0524621475013256,0.0096295942839185,1.5040425363395122,0.0162456788273964,0.8132820217582756,0.0035977279893676,0.7276727750931047,0.0081644248696312,0.4320705513955898,0.0041527278793445,1.1040577560251017,0.023082052129587,1.6506965289351905,0.1094473790584578,0.7739481499595906,0.0267616286941373,0.7446270955651862,0.0091684985958074,0.4743410935654186,0.0339897167210751,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,ba2c142849e1cf074b77732a49987a9d247463cb8f2224de287e8cc1a5f97171,2026-08-04-poisson-nystroem-v1,1.7006095774600525,0.7754355188147273,0.809319579800831,1.520115410694363,10
