stage,target,model,fold_count,cv_train_mae_mean,cv_train_mae_std,cv_train_rmse_mean,cv_train_rmse_std,cv_train_r2_mean,cv_train_r2_std,cv_train_median_absolute_error_mean,cv_train_median_absolute_error_std,cv_train_normalized_rmse_mean,cv_train_normalized_rmse_std,cv_validation_mae_mean,cv_validation_mae_std,cv_validation_rmse_mean,cv_validation_rmse_std,cv_validation_r2_mean,cv_validation_r2_std,cv_validation_median_absolute_error_mean,cv_validation_median_absolute_error_std,cv_validation_normalized_rmse_mean,cv_validation_normalized_rmse_std,convergence_warnings,convergence_reached,n_iter,dataset_hash,split_hash,model_config_hash,model_registry_version
groupkfold,density,lgbm_regressor,5,0.1505611320369305,0.0006732814448276,0.2050435186586318,0.0015356704921913,0.8968929929263562,0.0019639375847209,0.1132707205777816,0.0009292027599367,0.321074525948963,0.0030704294612278,0.1966247892382025,0.0005263326620998,0.2708218316550385,0.0032431827386182,0.8199708566939643,0.0054135823529418,0.1463844096625156,0.0050350436941673,0.4240825389027908,0.0062723309640582,,True,250 | 250 | 250 | 250 | 250,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,46929a10c909e5775e3ee3ac6ee4a4e5f9b910aeb26e1bdd31b770f7ed1a9fdf,2026-08-04-poisson-nystroem-v1
groupkfold,density,hist_gradient_boosting,5,0.1709074634825031,0.0006421436815568,0.2307639275925454,0.0019238333345993,0.8694014857055767,0.0026951248500362,0.1307795501286097,0.0015532868619814,0.3613500651255079,0.0037418112829854,0.2037589620049613,0.0007694415408128,0.2795696900539999,0.0043784571281626,0.8081743908313406,0.0055524143254446,0.1528687891210613,0.0032866626446822,0.4377865159930884,0.008225857266969,,True,150 | 150 | 150 | 150 | 150,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,8f7253d865bfcdc197513116f97743d778d9acaeec5862614d7595a21ce8c6af,2026-08-04-poisson-nystroem-v1
groupkfold,density,extra_trees,5,0.0427828723822169,0.0006641639778963,0.0772459637579709,0.0017316847190983,0.9853579127625848,0.0007722553632364,0.0197663417494255,0.0002589801188912,0.12096515344708,0.0031645757841105,0.1923200819147356,0.0044257549820873,0.2805827870398086,0.0068973121539796,0.8067985137307764,0.0070024489052835,0.1304047215046638,0.0044007799641011,0.4393840958129409,0.0122726589980011,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,857f3d5d3a5d8b452655ae1db5ce832b073483ad4fb1671790f8010347cf6752,2026-08-04-poisson-nystroem-v1
groupkfold,density,xgb_regressor,5,0.1630646948901876,0.0007840703707574,0.2138934551051688,0.001621227025267,0.8878023017585889,0.002032122965414,0.1278171158573852,0.0009108611568007,0.3349310360442069,0.0030310278433544,0.2072360741741364,0.0017801114621951,0.2812888408074371,0.0059061951985252,0.8057814208045022,0.0077712287058571,0.1569397686449584,0.002240741321902,0.440479433315492,0.0103583411245789,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,72d82ff87f0e09171a8220d06b59062124d9b75d7f10c0034291bbd6a6be4848,2026-08-04-poisson-nystroem-v1
groupkfold,density,voting_regressor,5,0.1497589842180295,0.0004829425554325915,0.1994236769456525,0.0008656521260874444,0.9024691987444384,0.0015359417102310524,0.11597046952887613,0.0007872380179268873,0.3122754147952954,0.002456306269546336,0.20433896708402574,0.0009909402182412235,0.28102632669080874,0.002650207789810047,0.8060985581748632,0.00734489328784897,0.15178353693622954,0.003525269859169333,0.44005339548801264,0.004736625251326188,,True,nan | nan | nan | nan | nan,45b1899ee22d8e2d4eee9779866a4c63447b7b426e77b2f721dbf945e57bb558,d6d1e61558aa5e6db72225c09d1f5fce9461c417327c815d1b671940b496de48,603df8ce012847e429e97e9accc5c97f23e8704c7e120e19e01d4c575dc8cd80,2026-08-04-poisson-nystroem-v1
